description,scheduled_date,is_weekend_special
Haz una foto a algo que parezca una cara,2026-05-31,TRUE
Fotografía algo rojo que no sea una manzana,2026-06-01,FALSE
Captura una sombra con una forma interesante,2026-06-02,FALSE
Encuentra algo perfectamente simétrico,2026-06-03,FALSE
Haz una foto a algo muy pequeño haciéndolo ver enorme,2026-06-04,FALSE
Fotografía algo que normalmente nadie mira,2026-06-05,FALSE
Captura un reflejo sorprendente,2026-06-06,TRUE
Haz una foto a algo que represente la palabra velocidad,2026-06-07,TRUE
Encuentra la textura más rara que puedas,2026-06-08,FALSE
Haz una foto a algo que empiece por la letra S,2026-06-09,FALSE
Fotografía algo que huela bien,2026-06-10,FALSE
Captura el objeto más viejo que encuentres,2026-06-11,FALSE
Haz una foto a algo transparente,2026-06-12,FALSE
Fotografía algo que esté perfectamente ordenado,2026-06-13,TRUE
Captura algo que esté completamente desordenado,2026-06-14,TRUE
Haz una foto a algo azul que no sea el cielo,2026-06-15,FALSE
Fotografía algo que tenga más de 50 años,2026-06-16,FALSE
Captura algo que sea completamente redondo,2026-06-17,FALSE
Haz una foto a algo que uses cada día pero nunca fotografías,2026-06-18,FALSE
Fotografía algo que te recuerde a tu infancia,2026-06-19,FALSE
Captura algo que esté roto pero siga siendo útil,2026-06-20,TRUE
Haz una foto al objeto más colorido que encuentres,2026-06-21,TRUE
Fotografía algo que esté escondido a simple vista,2026-06-22,FALSE
Captura algo que represente la palabra paz,2026-06-23,FALSE
Haz una foto a algo que puedas comer pero que parezca incomible,2026-06-24,FALSE
Fotografía algo que forme una línea perfecta,2026-06-25,FALSE
Captura algo que esté fuera de su lugar habitual,2026-06-26,FALSE
Haz una foto a algo que brille sin ser de metal,2026-06-27,TRUE
Fotografía algo que sea más largo que tú,2026-06-28,TRUE
Captura algo que tenga exactamente tres lados visibles,2026-06-29,FALSE
Haz una foto a algo que normalmente tiras a la basura,2026-06-30,FALSE
Fotografía algo que represente tu estado de ánimo ahora mismo,2026-07-01,FALSE
Captura algo que esté entre dos cosas completamente distintas,2026-07-02,FALSE
Haz una foto a algo que tenga agujeros,2026-07-03,FALSE
Fotografía algo que esté mojado,2026-07-04,TRUE
Captura algo completamente seco en un entorno húmedo,2026-07-05,TRUE
Haz una foto a algo que tenga más colores de los que parece,2026-07-06,FALSE
Fotografía algo que uses para relajarte,2026-07-07,FALSE
Captura algo que sea suave al tacto,2026-07-08,FALSE
Haz una foto a algo duro que parezca blando,2026-07-09,FALSE
Fotografía la cosa más alta que puedas ver desde donde estás,2026-07-10,FALSE
Captura algo que tenga exactamente cuatro patas,2026-07-11,TRUE
Haz una foto a algo que represente el número 7,2026-07-12,TRUE
Fotografía algo en un lugar completamente inesperado,2026-07-13,FALSE
Captura algo que alguien haya dejado olvidado,2026-07-14,FALSE
Haz una foto a algo del mismo color que tu ropa hoy,2026-07-15,FALSE
Fotografía algo que tenga una historia interesante,2026-07-16,FALSE
Captura algo que combine dos materiales completamente distintos,2026-07-17,FALSE
Haz una foto a algo que esté creciendo,2026-07-18,TRUE
Fotografía algo que haya cambiado mucho con el tiempo,2026-07-19,TRUE
Captura algo que sea útil solo una vez,2026-07-20,FALSE
Haz una foto a algo que tenga rayas,2026-07-21,FALSE
Fotografía algo que esté completamente quieto,2026-07-22,FALSE
Captura algo que normalmente se mueve muy rápido,2026-07-23,FALSE
Haz una foto a algo que represente el tiempo que hace hoy,2026-07-24,FALSE
Fotografía algo que tenga exactamente cinco elementos,2026-07-25,TRUE
Captura algo que sea completamente negro,2026-07-26,TRUE
Haz una foto a algo blanco que no sea papel,2026-07-27,FALSE
Fotografía algo cuya forma reconozcas como otra cosa,2026-07-28,FALSE
Captura algo que esté en equilibrio precario,2026-07-29,FALSE
Haz una foto a algo que represente la palabra trabajo,2026-07-30,FALSE
Fotografía algo que uses cuando tienes frío,2026-07-31,FALSE
Captura algo que normalmente no ves hasta que alguien te lo señala,2026-08-01,TRUE
Haz una foto a algo que no debería estar donde está,2026-08-02,TRUE
Fotografía algo que sea más pesado de lo que parece,2026-08-03,FALSE
Captura algo que sea más ligero de lo que parece,2026-08-04,FALSE
Haz una foto a algo con texto que no sea un libro ni una pantalla,2026-08-05,FALSE
Fotografía algo que represente tecnología antigua,2026-08-06,FALSE
Captura algo que represente una emoción sin mostrar personas,2026-08-07,FALSE
Haz una foto a algo que tenga alas,2026-08-08,TRUE
Fotografía algo que produzca sonido,2026-08-09,TRUE
Captura algo que sea perfectamente cuadrado,2026-08-10,FALSE
Haz una foto a algo verde que no sea una planta,2026-08-11,FALSE
Fotografía algo que normalmente está dentro pero hoy está fuera,2026-08-12,FALSE
Captura algo que represente la palabra libertad,2026-08-13,FALSE
Haz una foto a algo que tenga un número visible,2026-08-14,FALSE
Fotografía algo que represente tu ciudad o barrio,2026-08-15,TRUE
Captura algo que tenga una sombra más interesante que el objeto,2026-08-16,TRUE
Haz una foto a algo que represente la palabra música,2026-08-17,FALSE
Captura algo completamente circular visto desde arriba,2026-08-18,FALSE
Fotografía algo que normalmente se usa de noche a plena luz del día,2026-08-19,FALSE
Captura algo que tenga exactamente dos colores,2026-08-20,FALSE
Haz una foto a algo que represente tiempo libre,2026-08-21,FALSE
Fotografía algo que tenga una función y también sea decorativo,2026-08-22,TRUE
Captura algo que sea imposible de repetir mañana,2026-08-23,TRUE
Haz una foto a algo que represente la palabra conexión,2026-08-24,FALSE
Fotografía algo que esté a punto de acabarse,2026-08-25,FALSE
Captura algo que normalmente nadie quiere pero es imprescindible,2026-08-26,FALSE
Haz una foto a algo que hoy te haya sorprendido,2026-08-27,FALSE
Fotografía algo que represente el desayuno sin mostrar comida,2026-08-28,FALSE
Captura algo que sea exactamente de tu color favorito,2026-08-29,TRUE
Haz una foto a algo que esté esperando ser usado,2026-08-30,TRUE
